2026-07-11 18:39:45 | INFO     | plt_optimizer | Running NearestNeighbor + 2-Opt on 1 blocks
2026-07-11 18:39:45 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:45 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:45 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:45 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_returns_fileresult0\cad_benchmark\optimized\nn2opt\square_optimized.plt
2026-07-11 18:39:45 | INFO     | plt_optimizer | Starting optimization with Cheapest Insertion Heuristic on 1 blocks
2026-07-11 18:39:45 | INFO     | plt_optimizer | Running Cheapest Insertion Heuristic on 1 blocks
2026-07-11 18:39:45 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:45 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:45 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:45 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_returns_fileresult0\cad_benchmark\optimized\insertion\square_optimized.plt
2026-07-11 18:39:46 | INFO     | plt_optimizer | Starting optimization with Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Running Christofides-Serdyukov S-T Path (5/3 approx) on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:46 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_returns_fileresult0\cad_benchmark\optimized\christofides\square_optimized.plt
2026-07-11 18:39:46 | INFO     | plt_optimizer | Starting optimization with Simulated Annealing on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Running Simulated Annealing on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:46 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_returns_fileresult0\cad_benchmark\optimized\sa\square_optimized.plt
2026-07-11 18:39:46 | INFO     | plt_optimizer | Starting optimization with Genetic Algorithm on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Running Genetic Algorithm on 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:46 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:46 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_returns_fileresult0\cad_benchmark\optimized\genetic\square_optimized.plt
2026-07-11 18:39:47 | INFO     | plt_optimizer | Parsing PLT file: Z:\does\not\exist.plt
2026-07-11 18:39:47 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_direct_call0\cad\square.plt
2026-07-11 18:39:47 | INFO     | plt_optimizer | Starting baseline extent profiling
2026-07-11 18:39:47 | INFO     | plt_optimizer | Profiling complete: is_structural=True (avg 4.0 segments/path, 100.0% structural), baseline_extent=1016.000, total_cutting_strokes=4
2026-07-11 18:39:47 | INFO     | plt_optimizer | Structural file detected: Bypassing chunker for 1:1 routing (1 paths)
2026-07-11 18:39:47 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_direct_call0\cad_benchmark\optimized\no-opt\square_optimized.plt
2026-07-11 18:39:48 | INFO     | plt_optimizer | Starting optimization with NearestNeighbor + 2-Opt on 1 blocks
2026-07-11 18:39:48 | INFO     | plt_optimizer | Running NearestNeighbor + 2-Opt on 1 blocks
2026-07-11 18:39:48 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:48 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:48 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:48 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\pytest-of-haiiro\pytest-160\test_worker_direct_call0\cad_benchmark\optimized\nn2opt\square_optimized.plt
